"","date","borough","case","death","hospitalized"
"1",2020-02-29,"Bronx",0,0,0
"2",2020-03-01,"Bronx",0,0,6.75033025990797e-07
"3",2020-03-02,"Bronx",0,0,0
"4",2020-03-03,"Bronx",0,0,6.75033025990797e-07
"5",2020-03-04,"Bronx",0,0,0
"6",2020-03-05,"Bronx",0,0,6.75033025990797e-07
"7",2020-03-06,"Bronx",1.35006605198159e-06,0,6.75033025990797e-07
"8",2020-03-07,"Bronx",0,0,6.75033025990797e-07
"9",2020-03-08,"Bronx",2.02509907797239e-06,0,3.37516512995398e-06
"10",2020-03-09,"Bronx",2.70013210396319e-06,0,4.72523118193558e-06
"11",2020-03-10,"Bronx",5.40026420792637e-06,0,4.72523118193558e-06
"12",2020-03-11,"Bronx",1.28256274938251e-05,0,1.55257595977883e-05
"13",2020-03-12,"Bronx",1.95759577537331e-05,0,1.28256274938251e-05
"14",2020-03-13,"Bronx",5.33276090532729e-05,0,1.75508586757607e-05
"15",2020-03-14,"Bronx",5.80528402352085e-05,0,1.48507265717975e-05
"16",2020-03-15,"Bronx",8.03289300929048e-05,6.75033025990797e-07,2.49762219616595e-05
"17",2020-03-16,"Bronx",0.000205885072927193,2.02509907797239e-06,4.86023778713374e-05
"18",2020-03-17,"Bronx",0.000231536327914843,6.75033025990797e-07,4.05019815594478e-05
"19",2020-03-18,"Bronx",0.000325365918527564,6.75033025990797e-07,7.42536328589876e-05
"20",2020-03-19,"Bronx",0.000420545575192266,2.70013210396319e-06,9.11294585087575e-05
"21",2020-03-20,"Bronx",0.000488048877791346,8.77542933788036e-06,8.50541612748404e-05
"22",2020-03-21,"Bronx",0.000331441215761481,8.10039631188956e-06,0.000106655218106546
"23",2020-03-22,"Bronx",0.000334141347865444,8.10039631188956e-06,0.000116780713496408
"24",2020-03-23,"Bronx",0.000492774108973282,8.10039631188956e-06,0.000147832232691984
"25",2020-03-24,"Bronx",0.000625755615093468,9.45046236387115e-06,0.000182258917017515
"26",2020-03-25,"Bronx",0.000720935271758171,2.09260238057147e-05,0.000211285337135119
"27",2020-03-26,"Bronx",0.000673682959938815,2.49762219616595e-05,0.000214660502265073
"28",2020-03-27,"Bronx",0.000735785998329968,2.43011889356687e-05,0.00021196037016111
"29",2020-03-28,"Bronx",0.000513700132778996,4.18520476114294e-05,0.000210610304109129
"30",2020-03-29,"Bronx",0.000471848085167567,3.71268164294938e-05,0.000216685601343046
"31",2020-03-30,"Bronx",0.000887668429177898,5.06274769493097e-05,0.000236261559096779
"32",2020-03-31,"Bronx",0.000865392339320201,6.68282695730889e-05,0.000263262880136411
"33",2020-04-01,"Bronx",0.000837040952228588,6.27780714171441e-05,0.000252462351720558
"34",2020-04-02,"Bronx",0.000870117570502137,6.48031704951165e-05,0.000238961691200742
"35",2020-04-03,"Bronx",0.000980147953738637,7.83038310149324e-05,0.000257862615928484
"36",2020-04-04,"Bronx",0.000683133422302686,7.15535007550244e-05,0.000210610304109129
"37",2020-04-05,"Bronx",0.000554877147364435,8.37040952228588e-05,0.000206560105953184
"38",2020-04-06,"Bronx",0.00102200000135007,7.56036989109692e-05,0.000261912814084429
"39",2020-04-07,"Bronx",0.000987573317024535,7.76287979889416e-05,0.000223435931602954
"40",2020-04-08,"Bronx",0.00088091809891799,7.69537649629508e-05,0.000240311757252724
"41",2020-04-09,"Bronx",0.000867417438398174,7.2903566807006e-05,0.000182933950043506
"42",2020-04-10,"Bronx",0.000828265522890707,7.83038310149324e-05,0.000197784676615303
"43",2020-04-11,"Bronx",0.000673682959938815,8.91043594307851e-05,0.000165383091367745
"44",2020-04-12,"Bronx",0.000515050198830978,7.42536328589876e-05,0.000153907529925902
"45",2020-04-13,"Bronx",0.000467797887011622,8.3029062196868e-05,0.000176858652809589
"46",2020-04-14,"Bronx",0.000726335535966097,7.49286658849784e-05,0.000136356671250141
"47",2020-04-15,"Bronx",0.000720935271758171,6.41281374691257e-05,0.00013568163822415
"48",2020-04-16,"Bronx",0.000634531044431349,5.80528402352085e-05,0.000116105680470417
"49",2020-04-17,"Bronx",0.00061833025180757,5.94029062871901e-05,0.000114755614418435
"50",2020-04-18,"Bronx",0.00037261823034692,4.18520476114294e-05,8.97793924567759e-05
"51",2020-04-19,"Bronx",0.000359117569827104,5.33276090532729e-05,9.58546896906931e-05
"52",2020-04-20,"Bronx",0.000662207398496971,5.26525760272821e-05,9.51796566647023e-05
"53",2020-04-21,"Bronx",0.000432696169660101,4.72523118193558e-05,9.51796566647023e-05
"54",2020-04-22,"Bronx",0.000625755615093468,4.52272127413834e-05,8.03289300929048e-05
"55",2020-04-23,"Bronx",0.000496149274103236,3.91519155074662e-05,7.35785998329968e-05
"56",2020-04-24,"Bronx",0.000390844122048671,4.18520476114294e-05,6.68282695730889e-05
"57",2020-04-25,"Bronx",0.000282163804864153,3.84768824814754e-05,5.33276090532729e-05
"58",2020-04-26,"Bronx",0.000132306473094196,3.6451783403503e-05,4.99524439233189e-05
"59",2020-04-27,"Bronx",0.000371943197320929,3.6451783403503e-05,6.07529723391717e-05
"60",2020-04-28,"Bronx",0.000450922061361852,3.78018494554846e-05,5.94029062871901e-05
"61",2020-04-29,"Bronx",0.000375993395476874,2.70013210396319e-05,5.19775430012913e-05
"62",2020-04-30,"Bronx",0.000325365918527564,3.03764861695858e-05,3.91519155074662e-05
"63",2020-05-01,"Bronx",0.000303764861695858,3.03764861695858e-05,4.72523118193558e-05
"64",2020-05-02,"Bronx",0.000177533685835579,3.3076618273549e-05,3.37516512995398e-05
"65",2020-05-03,"Bronx",0.000103280052976592,1.82258917017515e-05,2.97014531435951e-05
"66",2020-05-04,"Bronx",0.000235586526070788,2.29511228836871e-05,3.91519155074662e-05
"67",2020-05-05,"Bronx",0.000198459709641294,1.75508586757607e-05,4.3202113663411e-05
"68",2020-05-06,"Bronx",0.000188334214251432,1.95759577537331e-05,3.78018494554846e-05
"69",2020-05-07,"Bronx",0.000201159841745257,1.89009247277423e-05,2.90264201176043e-05
"70",2020-05-08,"Bronx",0.000168758256497699,1.48507265717975e-05,2.76763540656227e-05
"71",2020-05-09,"Bronx",0.000118130779548389,1.41756935458067e-05,2.09260238057147e-05
"72",2020-05-10,"Bronx",5.06274769493097e-05,8.10039631188956e-06,1.62007926237791e-05
"73",2020-05-11,"Bronx",0.00015255746387392,1.82258917017515e-05,3.10515191955766e-05
"74",2020-05-12,"Bronx",0.000239636724226733,1.35006605198159e-05,1.75508586757607e-05
"75",2020-05-13,"Bronx",0.000311190224981757,1.08005284158527e-05,1.82258917017515e-05
"76",2020-05-14,"Bronx",0.000172133421627653,7.42536328589876e-06,1.75508586757607e-05
