region,value,year
07070,16,2019.5
11575,16,2019.5
10954,16,2019.5
07010,16,2019.5
07632,16,2019.5
10709,16,2019.5
11783,16,2019.5
11558,16,2019.5
11741,15,2019.5
07086,15,2019.5
12590,15,2019.5
11768,15,2019.5
07011,15,2019.5
07747,15,2019.5
07305,15,2019.5
11795,14,2019.5
10538,14,2019.5
07112,14,2019.5
11702,14,2019.5
10901,14,2019.5
11763,14,2019.5
11731,14,2019.5
10950,14,2019.5
10570,14,2019.5
07024,14,2019.5
10567,14,2019.5
12550,14,2019.5
07726,13,2019.5
07030,13,2019.5
10804,13,2019.5
11733,13,2019.5
11772,13,2019.5
11565,13,2019.5
10528,13,2019.5
10530,13,2019.5
07728,13,2019.5
07108,12,2019.5
10940,12,2019.5
11766,12,2019.5
07106,12,2019.5
45242,12,2019.5
07017,12,2019.5
11697,12,2019.5
07631,12,2019.5
07083,12,2019.5
08879,12,2019.5
12553,12,2019.5
11797,12,2019.5
11788,12,2019.5
10116,12,2019.5
11576,11,2019.5
07470,11,2019.5
07094,11,2019.5
10112,11,2019.5
10549,11,2019.5
07002,11,2019.5
11509,11,2019.5
10601,11,2019.5
11722,11,2019.5
06902,11,2019.5
10509,11,2019.5
11545,11,2019.5
10591,11,2019.5
07307,11,2019.5
08859,11,2019.5
11557,10,2019.5
11518,10,2019.5
10706,10,2019.5
10952,10,2019.5
10920,10,2019.5
07621,10,2019.5
29601,10,2019.5
11109,10,2019.5
10155,10,2019.5
10990,10,2019.5
10607,10,2019.5
11767,10,2019.5
07652,10,2019.5
11738,10,2019.5
07036,10,2019.5
07107,9,2019.5
11559,9,2019.5
08701,9,2019.5
07302,9,2019.5
11953,9,2019.5
08816,9,2019.5
10589,9,2019.5
11560,9,2019.5
11776,9,2019.5
11754,9,2019.5
10163,9,2019.5
11727,9,2019.5
11514,9,2019.5
11020,9,2019.5
10123,9,2019.5
11242,9,2019.5
11703,9,2019.5
07052,8,2019.5
07650,8,2019.5
11705,8,2019.5
07751,8,2019.5
07430,8,2019.5
08831,8,2019.5
07735,8,2019.5
11740,8,2019.5
11967,8,2019.5
06830,8,2019.5
32256,8,2019.5
11798,8,2019.5
10536,8,2019.5
07104,8,2019.5
10522,8,2019.5
06810,8,2019.5
11720,8,2019.5
11780,8,2019.5
10595,8,2019.5
07026,8,2019.5
10101,8,2019.5
07020,8,2019.5
12508,7,2019.5
10605,7,2019.5
07109,7,2019.5
07022,7,2019.5
07731,7,2019.5
10118,7,2019.5
11968,7,2019.5
11784,7,2019.5
10580,7,2019.5
75063,7,2019.5
10150,7,2019.5
07055,7,2019.5
89147,7,2019.5
98121,7,2019.5
92108,7,2019.5
30071,7,2019.5
07603,7,2019.5
12601,7,2019.5
07023,7,2019.5
10989,7,2019.5
10547,7,2019.5
10510,7,2019.5
07746,6,2019.5
07506,6,2019.5
11742,6,2019.5
07670,6,2019.5
10502,6,2019.5
07205,6,2019.5
12534,6,2019.5
08854,6,2019.5
12603,6,2019.5
07032,6,2019.5
11749,6,2019.5
10913,6,2019.5
14228,6,2019.5
11724,6,2019.5
08724,6,2019.5
14207,6,2019.5
07657,6,2019.5
07424,6,2019.5
07503,6,2019.5
07644,6,2019.5
11769,6,2019.5
07624,6,2019.5
07003,6,2019.5
07748,6,2019.5
89109,6,2019.5
94954,6,2019.5
12563,6,2019.5
10504,6,2019.5
11777,6,2019.5
10506,6,2019.5
07722,6,2019.5
10918,6,2019.5
06831,6,2019.5
07013,6,2019.5
07102,6,2019.5
10170,6,2019.5
14224,5,2019.5
10606,5,2019.5
07712,5,2019.5
11431,5,2019.5
10994,5,2019.5
07481,5,2019.5
07018,5,2019.5
63045,5,2019.5
12401,5,2019.5
07114,5,2019.5
07450,5,2019.5
10108,5,2019.5
06905,5,2019.5
11732,5,2019.5
11247,5,2019.5
10983,5,2019.5
08054,5,2019.5
07446,5,2019.5
11202,5,2019.5
07029,5,2019.5
10576,5,2019.5
07661,5,2019.5
10594,5,2019.5
12701,5,2019.5
10166,5,2019.5
08812,5,2019.5
30096,5,2019.5
75019,5,2019.5
12564,5,2019.5
10941,5,2019.5
10520,5,2019.5
07008,5,2019.5
11771,5,2019.5
10533,5,2019.5
07648,5,2019.5
07730,5,2019.5
07960,5,2019.5
12549,5,2019.5
1634,5,2019.5
18324,5,2019.5
12589,5,2019.5
07626,5,2019.5
07039,5,2019.5
07675,5,2019.5
10153,5,2019.5
08861,5,2019.5
43230,5,2019.5
07734,5,2019.5
10281,5,2019.5
11782,5,2019.5
18328,5,2019.5
10106,4,2019.5
10103,4,2019.5
07607,4,2019.5
22043,4,2019.5
18301,4,2019.5
08872,4,2019.5
07204,4,2019.5
33626,4,2019.5
20130,4,2019.5
10976,4,2019.5
07604,4,2019.5
07090,4,2019.5
50266,4,2019.5
07067,4,2019.5
10980,4,2019.5
43229,4,2019.5
11961,4,2019.5
08837,4,2019.5
34236,4,2019.5
07660,4,2019.5
85282,4,2019.5
12200,4,2019.5
08002,4,2019.5
11901,4,2019.5
10590,4,2019.5
33139,4,2019.5
06811,4,2019.5
60018,4,2019.5
10970,4,2019.5
24011,4,2019.5
14210,4,2019.5
06484,4,2019.5
63042,4,2019.5
07042,4,2019.5
75024,4,2019.5
30328,4,2019.5
10105,4,2019.5
07043,4,2019.5
85021,4,2019.5
10925,4,2019.5
14068,4,2019.5
30339,4,2019.5
07040,4,2019.5
80111,4,2019.5
07628,4,2019.5
11556,4,2019.5
07401,4,2019.5
08844,4,2019.5
10514,4,2019.5
10279,4,2019.5
10120,4,2019.5
10537,4,2019.5
11978,4,2019.5
07407,4,2019.5
07463,4,2019.5
07110,4,2019.5
07006,4,2019.5
10165,4,2019.5
08817,4,2019.5
12721,4,2019.5
07031,4,2019.5
07071,4,2019.5
10121,4,2019.5
07643,4,2019.5
10924,4,2019.5
06840,4,2019.5
94103,4,2019.5
07645,4,2019.5
10532,4,2019.5
08901,4,2019.5
07458,4,2019.5
80112,4,2019.5
07701,4,2019.5
07060,3,2019.5
08520,3,2019.5
20906,3,2019.5
10548,3,2019.5
92618,3,2019.5
19007,3,2019.5
55430,3,2019.5
10916,3,2019.5
75205,3,2019.5
08540,3,2019.5
10172,3,2019.5
20003,3,2019.5
78216,3,2019.5
06820,3,2019.5
06607,3,2019.5
07871,3,2019.5
93311,3,2019.5
12775,3,2019.5
07901,3,2019.5
65202,3,2019.5
66215,3,2019.5
33614,3,2019.5
07054,3,2019.5
06067,3,2019.5
10992,3,2019.5
06470,3,2019.5
10516,3,2019.5
56303,3,2019.5
77042,3,2019.5
12582,3,2019.5
85040,3,2019.5
06877,3,2019.5
75234,3,2019.5
07762,3,2019.5
10507,3,2019.5
33441,3,2019.5
85711,3,2019.5
07016,3,2019.5
85004,3,2019.5
11946,3,2019.5
10185,3,2019.5
07033,3,2019.5
55113,3,2019.5
07005,3,2019.5
11709,3,2019.5
33326,3,2019.5
12518,3,2019.5
07310,3,2019.5
97005,3,2019.5
11730,3,2019.5
08757,3,2019.5
07206,3,2019.5
08721,3,2019.5
07928,3,2019.5
07932,3,2019.5
07028,3,2019.5
11005,3,2019.5
08873,3,2019.5
10169,3,2019.5
07981,3,2019.5
19034,3,2019.5
10917,3,2019.5
10175,3,2019.5
07079,3,2019.5
48083,3,2019.5
19801,3,2019.5
08902,3,2019.5
29715,3,2019.5
07753,3,2019.5
07075,3,2019.5
